Scene; BG_LIGHTS_AMBIENCE_NIGHT;;;
Music; MUSIC_COLLEGE_FUN_CHILL;;;
Scene; BG_EXT_CAMPUS_QUAD_DAY;;;
Narrator; Welcome to Hartfeld University, one of North America's most elite academic institutions!;;;
Customization; Ready to choose your look?;;;
Narrator; It's the first day of college, and you walk across a bustling campus...;;;
You ; Ugh. This suitcase weighs like a thousand pounds. Maybe I shouldn't have brought so much--;;;
Music; MUSIC_COLLEGE_COMEDY_MISCHIEF;;;
Narrator; As you round a corner, you smack right into a guy jogging by!;;;
Chris;Whoa!;;;
Narrator;You're both knocked off your feet.;;;
You ; I'm so sorry! Are you okay?;;;
Chris; My ego's a little bruised.;;;
Chris;If the other guys on the football team saw me get tackled by a pretty girl, they'd never let me forget it.;;;
Narrator;He offers you a hand and helps you up.;;;
Chris;I'm Chris, by the way. Nice to meet you.;;;
You ; Nice to meet you too. I'm...;;;
Customization; Enter your name.;;;
Chris; Jourdan... for some reason that rings a bell. Huh.;;;
Chris;So... are you okay? Nothing broken, I hope.;;;
You ;I'll be fine. My hand is just a little scraped up.;;;
Chris;Is there anything I can do to make it up to you?;;;
Narrator; You've just met your first potential love interest! You'll meet more later. For now, it's up to you how to respond...;;;
Choice; Well, you could...;;;
Option; ;Help me with my bag.;;
Option; ; ** Kiss my hand and make it better.;;
Option; ;Get on your knees and beg for forgiveness.;;
; ; Text from other option; ;Chris looks down at your bag, which has popped open.
; ; Text from other option; ;Whoa! Your stuff is everywhere.
; ; Text from other option; ;Chris picks up a lacy black bra. Then his face goes bright red.
; ; Text from other option; ;Oh... wow. I didn't mean to... Uh... is this yours?
; ; Text from other option; ;You grab the bra out of his hands, and stuff it back in your suitcase.
; ; Text from other option; ;I think that's enough help for one day!
Chris; If that'll help...;;;
Narrator; He lifts your hand to his lips and kisses it.;;;
You ; It feels better already.;;;
Chris; Any other bumps or bruises you need me to fix?;;;
You ; Let me think about that...;;;
; ; Text from other option; ;Chris gets down on one knee.
; ; Text from other option; ;Jourdan, will you accept my--
; ; Text from other option; ;Oh wow! Spontaneous proposal. I gotta get this on camera!
; ; Text from other option; ;No! Wait. It's not like that!
; ; Text from other option; ;Uh, maybe I should stand up.
; ; Text from other option; ;You think?
Music; MUSIC_COLLEGE_ACTION_FUN;;;
Becca;Chris! There you are! Don't forget about the Kappa house mixer tonight.;;;
Chris;Oh... Becca. Hey. I'd love to go, but I promised my roommates I'd hang out with them.;;;
Becca; Too bad... I promise you'd have a better time with me…;;;
You ;Uh, we're kind of in the middle of a conversation...;;;
Becca;It looked to me like you were just leaving.;;;
You ; Actually--;;;
Narrator;Just then, Becca drops her iced coffee at your feet, splashing it all over you.;;;
You ;Seriously?!;;;
Becca; Oops. I'm so clumsy!;;;
Chris;Jourdan! Your outfit! I'll go find some napkins.;;;
Narrator; As soon as he's gone, Becca leans in close.;;;
Becca;  Just so you know, Chris is mine.;;;
You ; Oh, he's your boyfriend?;;;
Becca; Not yet. But he will be.;;;
Choice; Oh yeah?;;;
Option; ;I couldn't care less about your love life.;;
Option; ;News flash... Chris is mine!;;
Option; ; **Forget Chris! What about my clothes?;;
; ; Text from other option; ;Good. Just stay out of my way, and we'll be fine.
; ; Text from other option; ;Chris is clearly way more into me.
; ; Text from other option; ;As if that would be possible!
You ; I spent all morning choosing this outfit.;;;
Becca;And that's what you wore? How... sad.;;;
Narrator;Chris runs up with a stack of paper napkins.;;;
Chris; This is the best I could do.;;;
You ;It's a good start... I'll just find my dorm and change. See you around, okay?;;;
Chris; You can count on it.;;;
Narrator; A few minutes later...;;;
You ; This looks like the place!;;;
Narrator;You knock on the door, which swings open to reveal...;;;
Scene; BG_INT_DORM_MAIN_DAY;;;
You ; Wow.;;;
You ; This place is huge!;;;
Kaitlyn;Aaaahhhhh! New roomie! You're finally here!;;;
Kaitlyn; ...and covered in coffee?;;;
You ;Haven't you heard? It's the hottest look for fall.;;;
Kaitlyn;Oh yeah? Well you're definitely pulling it off. Seriously, you're super pretty.;;;
Choice;" 	Thanks...";;;
Option; ;I am super pretty.;;
Option; ;You're super hot!;;
Option; ; **I can tell we're going to get along.;;
; ; Text from other option; ;Not exactly modest, are you?
